statistical-geography-council-area-sct	local-authority-sct	enacting-legislation	dissolving-legislation	start-date	end-date
S12000001	ABE	UKPGA 1994/39	SSI 2002/154	1996-04-01	2002-05-31
S12000002	ABD	UKPGA 1994/39	SSI 2002/154	1996-04-01	2002-05-31
S12000004	AGB	UKPGA 1994/39	SSI 2002/155	1996-04-01	2002-05-31
S12000012	EDH	UKPGA 1994/39	SSI 2002/157	1996-04-01	2002-05-31
S12000016	GLG	UKPGA 1994/39	SSI 2002/156	1996-04-01	2002-05-31
S12000031	WDU	UKPGA 1994/39	SSI 2002/155	1996-04-01	2002-05-31
S12000032	WLN	UKPGA 1994/39	SSI 2002/157	1996-04-01	2002-05-31
S12000025	RFW	UKPGA 1994/39	SSI 2002/156	1996-04-01	2002-06-01
S12000003	ANS	UKPGA 1994/39	SSI 2009/442	1996-04-01	2010-03-31
S12000007	DND	UKPGA 1994/39	SSI 2009/442	1996-04-01	2010-03-31
S12000022	NLK	UKPGA 1994/39	SSI 2009/368	1996-04-01	2010-03-31
S12000037	GLG	SSI 2002/156	SSI 2009/368	2002-06-01	2010-03-31
S12000009	EDU	UKPGA 1994/39	SSI 2010/353	1996-04-01	2011-03-31
S12000043	GLG	SSI 2009/368	SSI 2010/353	2010-04-01	2011-03-31
S12000005	CLK	UKPGA 1994/39		1996-04-01	
S12000006	DGY	UKPGA 1994/39		1996-04-01	
S12000008	EAY	UKPGA 1994/39		1996-04-01	
S12000010	ELN	UKPGA 1994/39		1996-04-01	
S12000011	ERW	UKPGA 1994/39		1996-04-01	
S12000013	ELS	UKPGA 1994/39		1996-04-01	
S12000014	FAL	UKPGA 1994/39		1996-04-01	
S12000015	FIF	UKPGA 1994/39		1996-04-01	
S12000017	HLD	UKPGA 1994/39		1996-04-01	
S12000018	IVC	UKPGA 1994/39		1996-04-01	
S12000019	MLN	UKPGA 1994/39		1996-04-01	
S12000020	MRY	UKPGA 1994/39		1996-04-01	
S12000021	NAY	UKPGA 1994/39		1996-04-01	
S12000023	ORK	UKPGA 1994/39		1996-04-01	
S12000024	PKN	UKPGA 1994/39		1996-04-01	
S12000026	SCB	UKPGA 1994/39		1996-04-01	
S12000027	ZET	UKPGA 1994/39		1996-04-01	
S12000028	SAY	UKPGA 1994/39		1996-04-01	
S12000029	SLK	UKPGA 1994/39		1996-04-01	
S12000030	STG	UKPGA 1994/39		1996-04-01	
S12000033	ABE	SSI 2002/154		2002-06-01	
S12000034	ABD	SSI 2002/154		2002-06-01	
S12000035	AGB	SSI 2002/155		2002-06-01	
S12000036	EDH	SSI 2002/157		2002-06-01	
S12000038	RFW	SSI 2002/156		2002-06-01	
S12000039	WDU	SSI 2002/155		2002-06-01	
S12000040	WLN	SSI 2002/157		2002-06-01	
S12000041	ANS	SSI 2009/442		2010-04-01	
S12000042	DND	SSI 2009/442		2010-04-01	
S12000044	NLK	SSI 2009/368		2010-04-01	
S12000045	EDU	SSI 2010/353		2011-04-01	
S12000046	GLG	SSI 2010/353		2011-04-01	
