statistical-geography-county-eng	local-authority-eng	name	start-date	end-date
E10000001		Bedfordshire	2009-01-01	2009-03-31
E10000002	BKM		2009-01-01	
E10000003	CAM		2009-01-01	
E10000004		Cheshire	2009-01-01	2009-03-31
E10000005		Cornwall and Isles of Scilly	2009-01-01	2009-03-31
E10000006	CMA		2009-01-01	
E10000007	DBY		2009-01-01	
E10000008	DEV		2009-01-01	
E10000009	DOR		2009-01-01	
E10000010		Durham	2009-01-01	2009-03-31
E10000011	ESX		2009-01-01	
E10000012	ESS		2009-01-01	
E10000013	GLS		2009-01-01	
E10000014	HAM		2009-01-01	
E10000015	HRT		2009-01-01	
E10000016	KEN		2009-01-01	
E10000017	LAN		2009-01-01	
E10000018	LEC		2009-01-01	
E10000019	LIN		2009-01-01	
E10000020	NFK		2009-01-01	
E10000021	NTH		2009-01-01	
E10000022	NBL		2009-01-01	2009-03-31
E10000023	NYK		2009-01-01	
E10000024	NTT		2009-01-01	
E10000025	OXF		2009-01-01	
E10000026	SHR		2009-01-01	2009-03-31
E10000027	SOM		2009-01-01	
E10000028	STS		2009-01-01	
E10000029	SFK		2009-01-01	
E10000030	SRY		2009-01-01	
E10000031	WAR		2009-01-01	
E10000032	WSX		2009-01-01	
E10000033	WIL		2009-01-01	2009-03-31
E10000034	WOR		2009-01-01	
