statistical-geography-metropolitan-district-eng	local-authority-eng	start-date	end-date
E08000025	BIR	2009-01-01	
E08000015	WRL	2009-01-01	
E08000031	WLV	2009-01-01	
E08000030	WLL	2009-01-01	
E08000036	WKF	2009-01-01	
E08000010	WGN	2009-01-01	
E08000009	TRF	2009-01-01	
E08000008	TAM	2009-01-01	
E08000023	STY	2009-01-01	
E08000029	SOL	2009-01-01	
E08000024	SND	2009-01-01	
E08000006	SLF	2009-01-01	
E08000007	SKP	2009-01-01	
E08000013	SHN	2009-01-01	
E08000019	SHF	2009-01-01	
E08000014	SFT	2009-01-01	
E08000028	SAW	2009-01-01	
E08000018	ROT	2009-01-01	
E08000005	RCH	2009-01-01	
E08000004	OLD	2009-01-01	
E08000022	NTY	2009-01-01	
E08000021	NET	2009-01-01	
E08000003	MAN	2009-01-01	
E08000012	LIV	2009-01-01	
E08000035	LDS	2009-01-01	
E08000011	KWL	2009-01-01	
E08000034	KIR	2009-01-01	
E08000020	GAT	2009-01-01	2013-03-31
E08000037	GAT	2013-04-01	
E08000027	DUD	2009-01-01	
E08000017	DNC	2009-01-01	
E08000026	COV	2009-01-01	
E08000033	CLD	2009-01-01	
E08000002	BUR	2009-01-01	
E08000032	BRD	2009-01-01	
E08000001	BOL	2009-01-01	
E08000016	BNS	2009-01-01	
